#k_size_bessel = 25000
#tau_size_selection = 50
#Gaussian z1=1, z2= 1.5 (1e-06)
#rsd-rsd
#tau1      tau2         l(l+1)Dl(tau1,tau2)
#l = 64
10781.7     9775.78      -2.60329e-07
10781.7     9867.22      -1.17399e-06
10781.7     9958.67      2.08315e-06
10781.7     10050.1      -2.02494e-06
10781.7     10141.6      -1.09983e-06
10781.7     10233      4.27242e-06
10781.7     10324.5      7.96881e-06
10781.7     10415.9      2.07812e-05
10781.7     10507.3      4.87867e-05
10781.7     10598.8      -8.54392e-05
10781.7     10690.2      -0.00122111
10781.7     10781.7      0.0136124
10781.7     10873.1      -0.00125757
10781.7     10964.6      -5.64344e-05
10781.7     11056      5.01098e-05
10781.7     11147.5      1.24566e-05
10781.7     11238.9      7.97045e-06
10781.7     11330.3      4.36053e-06
10781.7     11421.8      -8.65661e-06
10781.7     11513.2      -1.03746e-06
10781.7     11604.7      -1.01966e-06
10781.7     11696.1      -9.75947e-07
10781.7     11787.6      1.47164e-06
10781.7     11879      -4.05065e-06
10781.7     11970.5      -1.50348e-07
10781.7     12061.9      -1.3442e-06
10781.7     12153.4      -1.03327e-07
10781.7     12244.8      4.70812e-07
10781.7     12336.2      9.50025e-08
10781.7     12427.7      8.73352e-07
10781.7     12519.1      3.08998e-07
10781.7     12610.6      -2.05527e-07
10781.7     12702      -2.8036e-07
10781.7     12793.5      -3.42795e-07
10781.7     12884.9      1.12117e-07
10781.7     12976.4      -1.71168e-08
10781.7     13067.8      -3.73594e-07
10781.7     13159.3      -2.76764e-07
10781.7     13250.7      4.29527e-08
10781.7     13342.1      1.61188e-07
10781.7     13433.6      -1.52913e-07
10781.7     13525      -1.85017e-08
10781.7     13616.5      3.67942e-08
10781.7     13707.9      2.30602e-08
10781.7     13799.4      -3.59576e-08
10781.7     13890.8      1.28693e-08
10781.7     13982.3      -5.08377e-09
10781.7     14073.7      1.54456e-09
10781.7     14165.2      0.0751691
10873.1     9684.33      -6.63966e-07
10873.1     9775.78      1.79237e-06
10873.1     9867.22      -4.08424e-07
10873.1     9958.67      -1.54142e-06
10873.1     10050.1      2.49547e-06
10873.1     10141.6      -2.08585e-06
10873.1     10233      -2.1735e-06
10873.1     10324.5      4.3131e-06
10873.1     10415.9      7.81894e-06
10873.1     10507.3      1.91288e-05
10873.1     10598.8      4.98426e-05
10873.1     10690.2      -7.15756e-05
10873.1     10781.7      -0.00125757
10873.1     10873.1      0.0144294
10873.1     10964.6      -0.00129123
10873.1     11056      -4.03487e-05
10873.1     11147.5      4.92043e-05
